new_num,title
269210,中国移动基站设置在民居顶楼，审批设置前是否有公示环节？
269207,投诉东华医院九价疫苗
269208,东坑镇角社五六队村民出行困难
269209,污水盖
269213,寮步镇横坑北门村六巷83号门前架设的线路凌乱，严重影响住户生活及存在安全隐患
269214,莞城元岭路国汇大厦旁一米滴答物流公司长期霸占公共车位长期将货物堆放道路堵塞交通影响路人通行
269215,东莞移动发送虚假信息欺骗消费者在家里等待安装宽带，结果投诉了6次都没有回复也没有上门安装
269217,公交车道
269218,樟木头樟洋水厂噪音扰民依旧未得到有效改善！
269220,商铺主违建改建
269221,请禁止燃放烟花爆竹
269223,请恢复虚线路口，解决拥堵！
269224,护栏留口问题和路面不及时修复问题
269227,投诉企石建设银行
269229,大井头朗东路路口为什么封路不准直行及左转？
,
,
,
269231,东坑中央松湖(时代豪庭)交付窗户存在严重安全缺陷，频繁高空坠物
,
,
,
,
,
,
,
269232,关于老人公交卡出行的若干疑问
269233,东华高级中学只提供两小时热水
269235,道路隔断
269204,路面标志标线
269205,盈峰停车场收费问题
269202,关于报建的霸王条款
269201,华讯大宅二期马路对面的空地没有围蔽
269193,东莞市华侨中学宿舍没有热水供应洗澡
269185,清溪镇罗马路段全部路灯不亮成摆设
269179,柏峰路48号楼顶水泥块脱落高空掉落无人处理
269180,万江江滨花园高田物业长期存不合法在乱收物业费现象
269181,公交车司机操作不规范，带有恶意夹伤乘客的倾向。严重影响到乘客生命安全。
269182,企石嘉宏锦城噪音问题
269183,屡教不改，中惠松湖城周末装修扰民
